year,origin_location_code,asylum_location_code,age_range,population
2001,AFG,IRN,0-4,142795
2001,AFG,IRN,12-17,233899
2001,AFG,IRN,18-59,787896
2001,AFG,IRN,5-11,272882
2001,AFG,IRN,60+,44528
2001,AFG,IRN,all,2964000
2001,AFG,ITA,0-4,0
2001,AFG,ITA,12-17,0
2001,AFG,ITA,18-59,0
2001,AFG,ITA,5-11,0
2001,AFG,ITA,60+,0
2001,AFG,ITA,all,149
2001,AFG,JPN,0-4,0
2001,AFG,JPN,12-17,0
2001,AFG,JPN,18-59,0
2001,AFG,JPN,5-11,0
2001,AFG,JPN,60+,0
2001,AFG,JPN,all,258
2001,AFG,KAZ,0-4,0
2001,AFG,KAZ,12-17,0
2001,AFG,KAZ,18-59,0
2001,AFG,KAZ,5-11,0
2001,AFG,KAZ,60+,0
2001,AFG,KAZ,all,2363
2001,AFG,KGZ,0-4,123
2001,AFG,KGZ,12-17,105
2001,AFG,KGZ,18-59,542
2001,AFG,KGZ,5-11,121
2001,AFG,KGZ,60+,31
2001,AFG,KGZ,all,1942
2001,AFG,KHM,0-4,0
2001,AFG,KHM,12-17,0
2001,AFG,KHM,18-59,12
2001,AFG,KHM,5-11,5
2001,AFG,KHM,60+,0
2001,AFG,KHM,all,34
2001,AFG,KWT,0-4,0
2001,AFG,KWT,12-17,17
2001,AFG,KWT,18-59,46
2001,AFG,KWT,5-11,11
2001,AFG,KWT,60+,0
2001,AFG,KWT,all,148
2001,AFG,LBN,0-4,0
2001,AFG,LBN,12-17,0
2001,AFG,LBN,18-59,33
2001,AFG,LBN,5-11,0
2001,AFG,LBN,60+,15
2001,AFG,LBN,all,96
2001,AFG,LKA,0-4,6
2001,AFG,LKA,12-17,0
2001,AFG,LKA,18-59,0
2001,AFG,LKA,5-11,7
2001,AFG,LKA,60+,0
2001,AFG,LKA,all,26
2001,AFG,LTU,0-4,0
2001,AFG,LTU,12-17,6
2001,AFG,LTU,18-59,29
2001,AFG,LTU,5-11,23
2001,AFG,LTU,60+,0
2001,AFG,LTU,all,177
2001,AFG,MAR,0-4,0
2001,AFG,MAR,12-17,0
2001,AFG,MAR,18-59,0
2001,AFG,MAR,5-11,0
2001,AFG,MAR,60+,0
2001,AFG,MAR,all,8
2001,AFG,MDA,0-4,0
2001,AFG,MDA,12-17,0
2001,AFG,MDA,18-59,14
2001,AFG,MDA,5-11,0
2001,AFG,MDA,60+,0
2001,AFG,MDA,all,28
2001,AFG,MEX,0-4,0
2001,AFG,MEX,12-17,0
2001,AFG,MEX,18-59,9
2001,AFG,MEX,5-11,0
2001,AFG,MEX,60+,0
2001,AFG,MEX,all,18
2001,AFG,MLT,0-4,0
2001,AFG,MLT,12-17,0
2001,AFG,MLT,18-59,0
2001,AFG,MLT,5-11,0
2001,AFG,MLT,60+,0
2001,AFG,MLT,all,8
2001,AFG,MYS,0-4,5
2001,AFG,MYS,12-17,12
2001,AFG,MYS,18-59,43
2001,AFG,MYS,5-11,12
2001,AFG,MYS,60+,5
2001,AFG,MYS,all,199
2001,AFG,NLD,0-4,0
2001,AFG,NLD,12-17,0
2001,AFG,NLD,18-59,0
2001,AFG,NLD,5-11,0
2001,AFG,NLD,60+,0
2001,AFG,NLD,all,33918
2001,AFG,NOR,0-4,0
2001,AFG,NOR,12-17,0
2001,AFG,NOR,18-59,0
2001,AFG,NOR,5-11,0
2001,AFG,NOR,60+,0
2001,AFG,NOR,all,1799
2001,AFG,NZL,0-4,0
2001,AFG,NZL,12-17,0
2001,AFG,NZL,18-59,0
2001,AFG,NZL,5-11,0
2001,AFG,NZL,60+,0
2001,AFG,NZL,all,434
2001,AFG,OMN,0-4,0
2001,AFG,OMN,12-17,0
2001,AFG,OMN,18-59,16
2001,AFG,OMN,5-11,0
2001,AFG,OMN,60+,0
2001,AFG,OMN,all,32
2001,AFG,PAK,0-4,243280
2001,AFG,PAK,12-17,299468
2001,AFG,PAK,18-59,564697
2001,AFG,PAK,5-11,349382
2001,AFG,PAK,60+,52207
2001,AFG,PAK,all,3706855
2001,AFG,POL,0-4,0
2001,AFG,POL,12-17,0
2001,AFG,POL,18-59,0
2001,AFG,POL,5-11,0
2001,AFG,POL,60+,0
2001,AFG,POL,all,64
2001,AFG,PRT,0-4,0
2001,AFG,PRT,12-17,0
2001,AFG,PRT,18-59,0
2001,AFG,PRT,5-11,0
2001,AFG,PRT,60+,0
2001,AFG,PRT,all,5
2001,AFG,QAT,0-4,0
2001,AFG,QAT,12-17,0
2001,AFG,QAT,18-59,40
2001,AFG,QAT,5-11,0
2001,AFG,QAT,60+,0
2001,AFG,QAT,all,80
2001,AFG,ROU,0-4,18
2001,AFG,ROU,12-17,25
2001,AFG,ROU,18-59,67
2001,AFG,ROU,5-11,29
2001,AFG,ROU,60+,0
2001,AFG,ROU,all,434
2001,AFG,RUS,0-4,0
2001,AFG,RUS,12-17,0
2001,AFG,RUS,18-59,0
2001,AFG,RUS,5-11,0
2001,AFG,RUS,60+,0
2001,AFG,RUS,all,101160
2001,AFG,SAU,0-4,6
2001,AFG,SAU,12-17,31
2001,AFG,SAU,18-59,118
2001,AFG,SAU,5-11,27
2001,AFG,SAU,60+,10
2001,AFG,SAU,all,384
2001,AFG,SRB,0-4,0
2001,AFG,SRB,12-17,0
2001,AFG,SRB,18-59,0
2001,AFG,SRB,5-11,0
2001,AFG,SRB,60+,0
2001,AFG,SRB,all,39
2001,AFG,SVK,0-4,0
2001,AFG,SVK,12-17,0
2001,AFG,SVK,18-59,0
2001,AFG,SVK,5-11,0
2001,AFG,SVK,60+,0
2001,AFG,SVK,all,1791
2001,AFG,SVN,0-4,0
2001,AFG,SVN,12-17,0
2001,AFG,SVN,18-59,0
2001,AFG,SVN,5-11,0
2001,AFG,SVN,60+,0
2001,AFG,SVN,all,16
2001,AFG,SWE,0-4,0
2001,AFG,SWE,12-17,0
2001,AFG,SWE,18-59,0
2001,AFG,SWE,5-11,0
2001,AFG,SWE,60+,0
2001,AFG,SWE,all,2732
2001,AFG,SYR,0-4,50
2001,AFG,SYR,12-17,89
2001,AFG,SYR,18-59,147
2001,AFG,SYR,5-11,102
2001,AFG,SYR,60+,19
2001,AFG,SYR,all,825
2001,AFG,THA,0-4,0
2001,AFG,THA,12-17,5
2001,AFG,THA,18-59,14
2001,AFG,THA,5-11,0
2001,AFG,THA,60+,0
2001,AFG,THA,all,43
2001,AFG,TJK,0-4,551
2001,AFG,TJK,12-17,837
2001,AFG,TJK,18-59,1702
2001,AFG,TJK,5-11,978
2001,AFG,TJK,60+,329
2001,AFG,TJK,all,30831
2001,AFG,TKM,0-4,0
2001,AFG,TKM,12-17,0
2001,AFG,TKM,18-59,0
2001,AFG,TKM,5-11,0
2001,AFG,TKM,60+,0
2001,AFG,TKM,all,3208
2001,AFG,TUR,0-4,29
2001,AFG,TUR,12-17,77
2001,AFG,TUR,18-59,221
2001,AFG,TUR,5-11,86
2001,AFG,TUR,60+,0
2001,AFG,TUR,all,826
2001,AFG,UKR,0-4,76
2001,AFG,UKR,12-17,203
2001,AFG,UKR,18-59,1089
2001,AFG,UKR,5-11,252
2001,AFG,UKR,60+,39
2001,AFG,UKR,all,3318
2001,AFG,USA,0-4,0
2001,AFG,USA,12-17,0
2001,AFG,USA,18-59,0
2001,AFG,USA,5-11,0
2001,AFG,USA,60+,0
2001,AFG,USA,all,7756
2001,AFG,UZB,0-4,266
2001,AFG,UZB,12-17,743
2001,AFG,UZB,18-59,1942
2001,AFG,UZB,5-11,863
2001,AFG,UZB,60+,71
2001,AFG,UZB,all,14770
2001,AFG,ZAF,0-4,0
2001,AFG,ZAF,12-17,0
2001,AFG,ZAF,18-59,0
2001,AFG,ZAF,5-11,0
2001,AFG,ZAF,60+,0
2001,AFG,ZAF,all,15
2001,AFG,ZWE,0-4,0
2001,AFG,ZWE,12-17,13
2001,AFG,ZWE,18-59,51
2001,AFG,ZWE,5-11,18
2001,AFG,ZWE,60+,0
2001,AFG,ZWE,all,164
2001,IRN,AFG,0-4,0
2001,IRN,AFG,12-17,0
2001,IRN,AFG,18-59,5
2001,IRN,AFG,5-11,0
2001,IRN,AFG,60+,0
2001,IRN,AFG,all,10
2001,IRQ,AFG,0-4,0
2001,IRQ,AFG,12-17,0
2001,IRQ,AFG,18-59,0
2001,IRQ,AFG,5-11,5
2001,IRQ,AFG,60+,0
2001,IRQ,AFG,all,10
2002,AFG,ARE,0-4,0
2002,AFG,ARE,12-17,6
2002,AFG,ARE,18-59,8
2002,AFG,ARE,5-11,8
2002,AFG,ARE,60+,0
2002,AFG,ARE,all,44
2002,AFG,AUS,0-4,0
2002,AFG,AUS,12-17,0
2002,AFG,AUS,18-59,0
2002,AFG,AUS,5-11,0
2002,AFG,AUS,60+,0
2002,AFG,AUS,all,7071
2002,AFG,AUT,0-4,0
2002,AFG,AUT,12-17,0
2002,AFG,AUT,18-59,0
2002,AFG,AUT,5-11,0
2002,AFG,AUT,60+,0
2002,AFG,AUT,all,1270
2002,AFG,AZE,0-4,54
2002,AFG,AZE,12-17,121
2002,AFG,AZE,18-59,832
2002,AFG,AZE,5-11,139
2002,AFG,AZE,60+,30
2002,AFG,AZE,all,2352
2002,AFG,BEL,0-4,0
2002,AFG,BEL,12-17,0
2002,AFG,BEL,18-59,0
2002,AFG,BEL,5-11,0
2002,AFG,BEL,60+,0
2002,AFG,BEL,all,248
2002,AFG,BGR,0-4,0
2002,AFG,BGR,12-17,7
2002,AFG,BGR,18-59,332
2002,AFG,BGR,5-11,18
2002,AFG,BGR,60+,0
2002,AFG,BGR,all,2447
2002,AFG,BLR,0-4,33
2002,AFG,BLR,12-17,92
2002,AFG,BLR,18-59,402
2002,AFG,BLR,5-11,104
2002,AFG,BLR,60+,12
2002,AFG,BLR,all,1297
2002,AFG,BRA,0-4,0
2002,AFG,BRA,12-17,0
2002,AFG,BRA,18-59,0
2002,AFG,BRA,5-11,0
2002,AFG,BRA,60+,0
2002,AFG,BRA,all,24
2002,AFG,CAN,0-4,0
2002,AFG,CAN,12-17,0
2002,AFG,CAN,18-59,0
2002,AFG,CAN,5-11,0
2002,AFG,CAN,60+,0
2002,AFG,CAN,all,13262
2002,AFG,CHE,0-4,42
2002,AFG,CHE,12-17,79
2002,AFG,CHE,18-59,464
2002,AFG,CHE,5-11,93
2002,AFG,CHE,60+,21
2002,AFG,CHE,all,3704
2002,AFG,CHL,0-4,0
2002,AFG,CHL,12-17,0
2002,AFG,CHL,18-59,5
2002,AFG,CHL,5-11,0
2002,AFG,CHL,60+,0
2002,AFG,CHL,all,10
2002,AFG,CHN,0-4,0
2002,AFG,CHN,12-17,0
2002,AFG,CHN,18-59,0
2002,AFG,CHN,5-11,8
2002,AFG,CHN,60+,0
2002,AFG,CHN,all,16
2002,AFG,CIV,0-4,0
2002,AFG,CIV,12-17,0
2002,AFG,CIV,18-59,11
2002,AFG,CIV,5-11,0
2002,AFG,CIV,60+,0
2002,AFG,CIV,all,22
2002,AFG,CUB,0-4,0
2002,AFG,CUB,12-17,6
2002,AFG,CUB,18-59,10
2002,AFG,CUB,5-11,8
2002,AFG,CUB,60+,0
2002,AFG,CUB,all,48
2002,AFG,CYP,0-4,0
2002,AFG,CYP,12-17,0
2002,AFG,CYP,18-59,5
2002,AFG,CYP,5-11,0
2002,AFG,CYP,60+,0
2002,AFG,CYP,all,29
2002,AFG,CZE,0-4,0
2002,AFG,CZE,12-17,0
2002,AFG,CZE,18-59,0
2002,AFG,CZE,5-11,0
2002,AFG,CZE,60+,0
2002,AFG,CZE,all,263
2002,AFG,DEU,0-4,0
2002,AFG,DEU,12-17,0
2002,AFG,DEU,18-59,0
2002,AFG,DEU,5-11,0
2002,AFG,DEU,60+,0
2002,AFG,DEU,all,64363
2002,AFG,DNK,0-4,0
2002,AFG,DNK,12-17,0
2002,AFG,DNK,18-59,0
2002,AFG,DNK,5-11,0
2002,AFG,DNK,60+,0
2002,AFG,DNK,all,7203
2002,AFG,ECU,0-4,0
2002,AFG,ECU,12-17,0
2002,AFG,ECU,18-59,0
2002,AFG,ECU,5-11,0
2002,AFG,ECU,60+,0
2002,AFG,ECU,all,29
2002,AFG,EGY,0-4,0
2002,AFG,EGY,12-17,0
2002,AFG,EGY,18-59,38
2002,AFG,EGY,5-11,5
2002,AFG,EGY,60+,0
2002,AFG,EGY,all,86
2002,AFG,ESP,0-4,0
2002,AFG,ESP,12-17,0
2002,AFG,ESP,18-59,0
2002,AFG,ESP,5-11,0
2002,AFG,ESP,60+,0
2002,AFG,ESP,all,145
2002,AFG,EST,0-4,0
2002,AFG,EST,12-17,0
2002,AFG,EST,18-59,0
2002,AFG,EST,5-11,6
2002,AFG,EST,60+,0
2002,AFG,EST,all,12
2002,AFG,ETH,0-4,0
