year,origin_location_code,asylum_location_code,population
2004,AFG,CUB,51
2004,AFG,CYP,162
2004,AFG,CZE,259
2004,AFG,DEU,39081
2004,AFG,DNK,6596
2004,AFG,ECU,29
2004,AFG,EGY,105
2004,AFG,ESP,88
2004,AFG,EST,18
2004,AFG,ETH,15
2004,AFG,FIN,1342
2004,AFG,FRA,1220
2004,AFG,GBR,22494
2004,AFG,GEO,5
2004,AFG,GRC,1790
2004,AFG,HKG,5
2004,AFG,HUN,2502
2004,AFG,IDN,221
2004,AFG,IND,29353
2004,AFG,IRL,153
2004,AFG,IRN,2858478
2004,AFG,ISL,5
2004,AFG,ITA,242
2004,AFG,JPN,151
2004,AFG,KAZ,2010
2004,AFG,KGZ,1158
2004,AFG,KHM,21
2004,AFG,KWT,345
2004,AFG,LBN,93
2004,AFG,LKA,45
2004,AFG,LTU,99
2004,AFG,MDA,30
2004,AFG,MLT,8
2004,AFG,MYS,105
2004,AFG,NLD,28695
2004,AFG,NOR,3693
2004,AFG,NZL,1148
2004,AFG,OMN,48
2004,AFG,PAK,3217654
2004,AFG,POL,107
2004,AFG,PRT,5
2004,AFG,QAT,120
2004,AFG,ROU,316
2004,AFG,RUS,101741
2004,AFG,SAU,24
2004,AFG,SVK,476
2004,AFG,SWE,5075
2004,AFG,SYR,1242
2004,AFG,THA,15
2004,AFG,TJK,1816
2004,AFG,TKM,3090
2004,AFG,TUR,1182
2004,AFG,UKR,4213
2004,AFG,USA,9923
2004,AFG,UZB,11128
2004,AFG,ZAF,37
2004,AFG,ZWE,66
2004,IRN,AFG,93
2004,IRQ,AFG,5
2005,AFG,AUS,8112
2005,AFG,AUT,2991
2005,AFG,AZE,1208
2005,AFG,BEL,487
2005,AFG,BGR,3090
2005,AFG,BLR,1638
2005,AFG,BRA,18
2005,AFG,CAN,16207
2005,AFG,CHE,4041
2005,AFG,CHL,48
2005,AFG,CHN,21
2005,AFG,CIV,51
2005,AFG,CUB,27
2005,AFG,CYP,164
2005,AFG,CZE,246
2005,AFG,DEU,36136
2005,AFG,DNK,6461
2005,AFG,ECU,29
2005,AFG,EGY,93
2005,AFG,ESP,87
2005,AFG,FIN,1604
2005,AFG,FRA,2456
2005,AFG,GBR,22532
2005,AFG,GEO,15
2005,AFG,GRC,1858
2005,AFG,HUN,2385
2005,AFG,IDN,234
2005,AFG,IND,29160
2005,AFG,IRL,77
2005,AFG,IRN,2760912
2005,AFG,ITA,302
2005,AFG,JPN,141
2005,AFG,KAZ,2280
2005,AFG,KGZ,1104
2005,AFG,KWT,375
2005,AFG,LBN,39
2005,AFG,LKA,15
2005,AFG,LTU,101
2005,AFG,MDA,39
2005,AFG,MLT,8
2005,AFG,MYS,252
2005,AFG,NLD,26564
2005,AFG,NOR,4052
2005,AFG,NZL,1266
2005,AFG,PAK,2171181
2005,AFG,POL,87
2005,AFG,PRT,5
2005,AFG,QAT,120
2005,AFG,ROU,306
2005,AFG,RUS,101519
2005,AFG,SAU,18
2005,AFG,SVK,530
2005,AFG,SWE,4963
2005,AFG,SYR,1011
2005,AFG,THA,15
2005,AFG,TJK,2034
2005,AFG,TKM,2247
2005,AFG,TUR,996
2005,AFG,UKR,4291
2005,AFG,USA,8931
2005,AFG,UZB,9952
2005,AFG,ZAF,37
2005,IRN,AFG,72
2005,PAK,AFG,14
2006,AFG,ARE,15
2006,AFG,AUS,7923
2006,AFG,AUT,5239
2006,AFG,AZE,1517
2006,AFG,BEL,469
2006,AFG,BGR,2654
2006,AFG,BLR,1500
2006,AFG,BRA,10
2006,AFG,CAN,15002
2006,AFG,CHE,3641
2006,AFG,CHL,51
2006,AFG,CHN,21
2006,AFG,CIV,42
2006,AFG,CUB,15
2006,AFG,CYP,144
2006,AFG,CZE,237
2006,AFG,DEU,25878
2006,AFG,DNK,6367
2006,AFG,ECU,32
2006,AFG,EGY,93
2006,AFG,ESP,74
2006,AFG,FIN,1942
2006,AFG,FRA,2476
2006,AFG,GBR,23069
2006,AFG,GEO,15
2006,AFG,GRC,1665
2006,AFG,HUN,2362
2006,AFG,IDN,225
2006,AFG,IND,28827
2006,AFG,IRL,211
2006,AFG,IRN,2744358
2006,AFG,ITA,473
2006,AFG,JPN,115
2006,AFG,KAZ,1806
2006,AFG,KGZ,1371
2006,AFG,KWT,132
2006,AFG,LBN,18
2006,AFG,LKA,15
2006,AFG,LTU,96
2006,AFG,MDA,36
2006,AFG,MLT,8
2006,AFG,MYS,255
2006,AFG,NLD,22650
2006,AFG,NOR,4871
2006,AFG,NZL,961
2006,AFG,PAK,2094241
2006,AFG,POL,79
2006,AFG,PRT,5
2006,AFG,QAT,120
2006,AFG,ROU,292
2006,AFG,RUS,101432
2006,AFG,SAU,30
2006,AFG,SVK,423
2006,AFG,SWE,4869
2006,AFG,SYR,1962
2006,AFG,TJK,2117
2006,AFG,TKM,2130
2006,AFG,TUR,1239
2006,AFG,UKR,2721
2006,AFG,USA,13348
2006,AFG,UZB,1415
2006,AFG,ZAF,18
2006,IRN,AFG,117
2007,AFG,ARE,15
2007,AFG,AUS,5002
2007,AFG,AUT,5735
2007,AFG,AZE,1686
2007,AFG,BEL,302
2007,AFG,BGR,2524
2007,AFG,BLR,1367
2007,AFG,BRA,15
2007,AFG,CAN,4673
2007,AFG,CHE,4741
2007,AFG,CHL,51
2007,AFG,CHN,21
2007,AFG,CIV,42
2007,AFG,CYP,112
2007,AFG,CZE,258
2007,AFG,DEU,26459
2007,AFG,DNK,5436
2007,AFG,ECU,277
2007,AFG,EGY,84
2007,AFG,ESP,69
2007,AFG,EST,18
2007,AFG,FIN,561
2007,AFG,FRA,2546
2007,AFG,GBR,23565
2007,AFG,GEO,15
2007,AFG,GRC,1235
2007,AFG,HKG,15
2007,AFG,HUN,2312
2007,AFG,IDN,183
2007,AFG,IND,29103
2007,AFG,IRL,224
2007,AFG,IRN,1814076
2007,AFG,ITA,1138
2007,AFG,JPN,122
2007,AFG,KAZ,1227
2007,AFG,KGZ,1863
2007,AFG,KWT,78
2007,AFG,LBN,45
2007,AFG,LKA,15
2007,AFG,LTU,113
2007,AFG,MDA,36
2007,AFG,MLT,8
2007,AFG,MYS,570
2007,AFG,NLD,17296
2007,AFG,NOR,3571
2007,AFG,NZL,167
2007,AFG,PAK,3810266
2007,AFG,POL,81
2007,AFG,PRT,6
2007,AFG,QAT,120
2007,AFG,ROU,274
2007,AFG,RUS,3387
2007,AFG,SAU,27
2007,AFG,SVK,94
2007,AFG,SWE,3235
2007,AFG,SYR,2067
2007,AFG,THA,15
2007,AFG,TJK,1344
2007,AFG,TKM,255
2007,AFG,TUR,2739
2007,AFG,UKR,2661
2007,AFG,USA,2438
2007,AFG,UZB,1047
2007,AFG,ZAF,18
2007,IRN,AFG,114
2007,IRQ,AFG,15
2008,AFG,AUS,4961
2008,AFG,AUT,7403
2008,AFG,AZE,1844
2008,AFG,BEL,392
2008,AFG,BGR,2499
2008,AFG,BLR,1395
2008,AFG,BRA,15
2008,AFG,CAN,4956
2008,AFG,CHE,5763
2008,AFG,CHL,16
2008,AFG,CIV,48
2008,AFG,CYP,81
2008,AFG,CZE,248
2008,AFG,DEU,28469
2008,AFG,DNK,5296
2008,AFG,ECU,284
2008,AFG,EGY,84
2008,AFG,ESP,69
2008,AFG,EST,18
2008,AFG,FIN,791
2008,AFG,FRA,2690
2008,AFG,GBR,23079
2008,AFG,GEO,15
2008,AFG,GRC,1700
2008,AFG,HKG,18
2008,AFG,HUN,2164
2008,AFG,IDN,495
2008,AFG,IND,30306
2008,AFG,IRL,249
2008,AFG,IRN,2811510
2008,AFG,ISL,15
2008,AFG,ITA,2315
2008,AFG,JPN,123
2008,AFG,KAZ,1535
2008,AFG,KGZ,2076
2008,AFG,KWT,5385
2008,AFG,LBN,42
2008,AFG,LKA,30
2008,AFG,LTU,97
2008,AFG,LVA,24
2008,AFG,MDA,30
2008,AFG,MLT,8
2008,AFG,MYS,1581
2008,AFG,NLD,13477
2008,AFG,NOR,5257
2008,AFG,NZL,172
2008,AFG,PAK,3317625
2008,AFG,POL,73
2008,AFG,PRT,8
2008,AFG,ROU,230
2008,AFG,RUS,3206
2008,AFG,SAU,15
2008,AFG,SVK,112
2008,AFG,SVN,9
2008,AFG,SWE,3550
2008,AFG,SYR,2418
2008,AFG,TJK,1883
2008,AFG,TKM,138
2008,AFG,TUR,9475
2008,AFG,UKR,4180
2008,AFG,USA,2164
2008,AFG,UZB,2427
2008,AFG,ZAF,18
2008,IRN,AFG,105
2008,IRQ,AFG,21
2008,PAK,AFG,15
2009,AFG,ARE,15
2009,AFG,AUS,5718
2009,AFG,AUT,9209
2009,AFG,AZE,1996
2009,AFG,BEL,542
2009,AFG,BGR,2543
2009,AFG,BLR,1397
2009,AFG,BRA,36
2009,AFG,CAN,5085
2009,AFG,CHE,6876
2009,AFG,CHN,21
2009,AFG,CIV,51
2009,AFG,CYM,15
2009,AFG,CYP,52
2009,AFG,CZE,232
2009,AFG,DEU,103604
2009,AFG,DNK,5354
2009,AFG,ECU,387
2009,AFG,ESP,70
2009,AFG,EST,45
2009,AFG,FIN,1002
2009,AFG,FJI,15
2009,AFG,FRA,1567
2009,AFG,GBR,23658
2009,AFG,GRC,148
2009,AFG,HKG,45
2009,AFG,HRV,42
2009,AFG,HUN,5919
2009,AFG,IDN,4893
2009,AFG,IND,29589
2009,AFG,IRL,204
2009,AFG,IRN,3072636
2009,AFG,ISL,15
2009,AFG,ITA,3039
2009,AFG,JOR,75
2009,AFG,JPN,114
2009,AFG,KAZ,1307
2009,AFG,KGZ,1923
2009,AFG,KOR,27
2009,AFG,KWT,5400
2009,AFG,LBN,42
2009,AFG,LKA,5
2009,AFG,LTU,125
2009,AFG,LUX,11
2009,AFG,LVA,75
2009,AFG,MDA,48
