YEAR;MONTH;DAY;FATALITIES;CENTROID_LATITUDE;CENTROID_LONGITUDE
2017;3;11;[13, 9, 0, 8, 54, 27, 17, 59, 7, 4, 2, 33, 6, 5, 0, 21, 8, 4, 82, 0, 10, 8, 0, 21, 44, 25];['35,2572', '35,79', '36,5288', '33,6473', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '33,6167', '32,5116', '35,9925', '32,8013', '34,2374', '32,2774'];['63,5813', '69,109', '66,9116', '66,3457', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '69,2837', '68,6546', '67,7275', '66,0076', '68,16', '67,0193']
2017;3;18;[7, 13, 0, 0, 32, 13, 5, 24, 0, 14, 0, 35, 1, 3, 0, 14, 9, 5, 130, 19, 0, 10, 0, 6, 15, 0, 39];['35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '35,0024', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '68,758', '69,6309', '66,0076', '68,16', '67,0193']
2017;3;25;[2, 11, 3, 0, 88, 10, 52, 49, 9, 2, 0, 55, 4, 0, 3, 11, 16, 27, 120, 18, 24, 1, 3, 0, 0, 68, 0, 0];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,0024', '35,9925', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '68,758', '67,7275', '66,0076', '68,16', '67,0193']
2017;4;1;[0, 7, 24, 28, 4, 41, 3, 7, 24, 1, 76, 3, 0, 3, 16, 6, 0, 169, 0, 6, 14, 13, 0, 4, 24, 34, 4, 4];['36,966', '35,2572', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,9925', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '67,7275', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;4;8;[12, 3, 10, 14, 0, 10, 27, 0, 38, 30, 40, 3, 13, 0, 14, 0, 49, 29, 0, 147, 8, 4, 3, 73, 0, 7, 9, 2];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;4;15;[43, 38, 152, 0, 2, 62, 0, 18, 0, 0, 19, 3, 0, 50, 2, 2, 61, 2, 23, 9, 2, 32, 3, 19, 32, 4];['35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '34,5253', '31,0757', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '35,0024', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '69,3433', '65,6926', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '68,758', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;4;22;[2, 10, 0, 2, 16, 23, 30, 50, 11, 40, 91, 0, 9, 0, 0, 10, 9, 7, 27, 181, 0, 2, 0, 8, 4, 5, 23, 40, 9, 20];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,0024', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '68,758', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;4;29;[80, 2, 35, 0, 1, 14, 33, 18, 18, 122, 7, 20, 10, 43, 0, 6, 15, 10, 0, 2, 90, 0, 0, 6, 0, 2, 12, 36, 81, 17, 32];['36,966', '35,2572', '35,79', '36,5288', '34,6954', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '35,0024', '35,9925', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '67,3383', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '68,758', '67,7275', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;5;6;[121, 0, 50, 17, 1, 21, 26, 6, 31, 0, 27, 5, 19, 124, 0, 2, 32, 0, 0, 4, 34, 70, 79, 8, 3];['36,966', '35,2572', '35,79', '36,5288', '32,4966', '36,2086', '33,1547', '31,3969', '34,239', '34,5253', '31,0757', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '35,4698', '33,6167', '32,5116', '35,7152', '36,6997', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,9116', '62,41', '64,7689', '67,7536', '64,0428', '62,0679', '69,3433', '65,6926', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '71,1173', '69,2837', '68,6546', '66,088', '69,6309', '66,0076', '68,16', '67,0193']
2017;5;13;[0, 5, 65, 0, 6, 13, 33, 15, 47, 1, 0, 1, 81, 0, 0, 24, 13, 29, 27, 60, 0, 0, 53, 0, 0, 21, 14, 0, 7];['36,966', '35,2572', '35,79', '33,6473', '32,4966', '36,2086', '33,1547', '34,2063', '31,3969', '34,239', '36,7115', '34,5253', '31,0757', '34,9093', '33,3768', '35,0052', '36,8038', '34,8092', '33,9823', '34,3726', '30,8409', '35,4698', '33,6167', '32,5116', '35,0024', '35,9925', '32,8013', '34,2374', '32,2774'];['73,3417', '63,5813', '69,109', '66,3457', '62,41', '64,7689', '67,7536', '64,5817', '64,0428', '62,0679', '65,9384', '69,3433', '65,6926', '69,7471', '69,8967', '71,0407', '68,6663', '70,2703', '69,1949', '70,3664', '62,4753', '71,1173', '69,2837', '68,6546', '68,758', '67,7275', '66,0076', '68,16', '67,0193']
