YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2017;0;0;0;0;0;1
2018;3;0;3;5;0;31
2019;0;1;0;2;0;24
2020;0;1;0;0;2;19
2021;1;5;0;0;2;20
2022;0;0;0;0;0;41
2023;5;1;0;0;0;15
2024;0;0;2;2;0;37
2025;0;0;0;0;0;1
