YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2020;0;0;0;0;0;0
2021;14;7;0;222;0;7
2022;10;3;4;242;0;11
2023;9;0;0;312;0;23
2024;5;0;0;308;0;30
2025;0;0;0;103;0;5
