YEAR;Abduction/forced disappearance;Agreement;Armed clash;Arrests;Attack;Change to group/activity;Disrupted weapons use;Excessive force against protesters;Grenade;Looting/property destruction;Mob violence;Peaceful protest;Protest with intervention;Remote explosive/landmine/IED;Sexual violence;Shelling/artillery/missile attack;Violent demonstration
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021;0;0;14;0;7;0;0;0;7;0;222;0;0;0;0;0;0
2022;0;0;10;0;10;0;0;4;3;0;242;0;0;0;1;0;0
2023;0;0;9;0;22;0;0;0;0;0;312;0;0;0;1;0;0
2024;0;0;5;0;7;0;0;0;0;0;291;0;0;0;23;0;17
2025;0;0;0;0;5;0;0;0;0;0;103;0;0;0;0;0;0
