YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2020;0;0;1;0;0;0
2021;9;1;620;121;48;15
2022;5;2;608;132;41;13
2023;8;1;633;145;56;15
2024;4;0;671;172;59;15
2025;0;0;402;97;29;8
