YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2016;165;71;2;1;6;13
2017;8389;3829;133;5;301;289
2018;9542;3735;212;10;233;325
2019;9150;4042;59;3;214;408
2020;6104;2838;141;11;424;714
2021;5905;2262;229;9;400;921
2022;1048;417;286;28;272;1067
2023;282;114;211;54;253;583
2024;412;111;83;40;151;518
