YEAR;Battles;Explosions/Remote violence;Protests;Riots;Strategic developments;Violence against civilians
2016;474;183;254;7;60;155
2017;474;135;218;19;57;170
2018;477;173;235;18;51;135
2019;754;252;461;14;118;246
2020;496;340;185;17;120;303
2021;2352;2856;7725;60;3205;2050
2022;4507;4447;3457;5;4363;2513
2023;5265;5376;2221;2;3189;2071
2024;5010;5862;1194;0;2269;1748
