asylum_location_code,gender,age_range,population,year
CAN,f,60+,0,2020
CAN,m,0-4,20,2020
CAN,m,5-11,23,2020
CAN,m,12-17,0,2020
CAN,m,18-59,177,2020
CAN,m,60+,0,2020
CAN,f,0-4,0,2020
CAN,f,5-11,0,2020
CAN,f,12-17,0,2020
CAN,f,18-59,30,2020
CAN,f,60+,0,2020
CAN,m,0-4,5,2020
CAN,m,5-11,0,2020
CAN,m,12-17,0,2020
CAN,m,18-59,110,2020
CAN,m,60+,0,2020
CHE,f,0-4,32,2020
CHE,f,5-11,36,2020
CHE,f,12-17,25,2020
CHE,f,18-59,122,2020
CHE,f,60+,0,2020
CHE,m,0-4,33,2020
CHE,m,5-11,54,2020
CHE,m,12-17,127,2020
CHE,m,18-59,415,2020
CHE,m,60+,0,2020
CHE,f,0-4,336,2020
CHE,f,5-11,549,2020
CHE,f,12-17,391,2020
CHE,f,18-59,1701,2020
CHE,f,60+,118,2020
CHE,m,0-4,364,2020
CHE,m,5-11,579,2020
CHE,m,12-17,852,2020
CHE,m,18-59,6583,2020
CHE,m,60+,112,2020
CHL,f,0-4,0,2020
CHL,f,5-11,0,2020
CHL,f,12-17,0,2020
CHL,f,18-59,0,2020
CHL,f,60+,0,2020
CHL,m,0-4,0,2020
CHL,m,5-11,0,2020
CHL,m,12-17,0,2020
CHL,m,18-59,0,2020
CHL,m,60+,0,2020
CHL,f,0-4,0,2020
CHL,f,5-11,0,2020
CHL,f,12-17,0,2020
CHL,f,18-59,0,2020
CHL,f,60+,0,2020
CHL,m,0-4,0,2020
CHL,m,5-11,0,2020
CHL,m,12-17,0,2020
CHL,m,18-59,0,2020
CHL,m,60+,0,2020
CHN,f,0-4,0,2020
CHN,f,5-11,0,2020
CHN,f,12-17,0,2020
CHN,f,18-59,6,2020
CHN,f,60+,0,2020
CHN,m,0-4,0,2020
CHN,m,5-11,6,2020
CHN,m,12-17,0,2020
CHN,m,18-59,0,2020
CHN,m,60+,0,2020
CHN,f,0-4,0,2020
CHN,f,5-11,6,2020
CHN,f,12-17,0,2020
CHN,f,18-59,5,2020
CHN,f,60+,0,2020
CHN,m,0-4,0,2020
CHN,m,5-11,0,2020
CHN,m,12-17,0,2020
CHN,m,18-59,9,2020
CHN,m,60+,0,2020
COL,f,0-4,0,2020
COL,f,5-11,0,2020
COL,f,12-17,0,2020
COL,f,18-59,0,2020
COL,f,60+,0,2020
COL,m,0-4,0,2020
COL,m,5-11,0,2020
COL,m,12-17,0,2020
COL,m,18-59,9,2020
COL,m,60+,0,2020
CUB,f,0-4,0,2020
CUB,f,5-11,0,2020
CUB,f,12-17,0,2020
CUB,f,18-59,8,2020
CUB,f,60+,0,2020
CUB,m,0-4,0,2020
CUB,m,5-11,0,2020
CUB,m,12-17,5,2020
CUB,m,18-59,15,2020
CUB,m,60+,0,2020
CYP,f,0-4,0,2020
CYP,f,5-11,0,2020
CYP,f,12-17,0,2020
CYP,f,18-59,0,2020
CYP,f,60+,0,2020
CYP,m,0-4,0,2020
CYP,m,5-11,0,2020
CYP,m,12-17,0,2020
CYP,m,18-59,0,2020
CYP,m,60+,0,2020
CYP,f,0-4,0,2020
CYP,f,5-11,0,2020
CYP,f,12-17,0,2020
CYP,f,18-59,0,2020
CYP,f,60+,0,2020
CYP,m,0-4,0,2020
CYP,m,5-11,0,2020
CYP,m,12-17,0,2020
CYP,m,18-59,0,2020
CYP,m,60+,0,2020
CZE,f,0-4,0,2020
CZE,f,5-11,0,2020
CZE,f,12-17,0,2020
CZE,f,18-59,0,2020
CZE,f,60+,0,2020
CZE,m,0-4,0,2020
CZE,m,5-11,0,2020
