year,origin_location_code,asylum_location_code,population_group,population
2002,AFG,PAK,REF,3679707
2002,AFG,POL,ASY,252
2002,AFG,POL,REF,65
2002,AFG,PRT,REF,5
2002,AFG,QAT,REF,120
2002,AFG,ROU,REF,295
2002,AFG,RUS,ASY,541
2002,AFG,RUS,OOC,100000
2002,AFG,RUS,REF,1493
2002,AFG,SAU,ASY,46
2002,AFG,SAU,REF,367
2002,AFG,SRB,ASY,13
2002,AFG,SRB,REF,7
2002,AFG,SVK,ASY,552
2002,AFG,SVK,REF,183
2002,AFG,SWE,ASY,528
2002,AFG,SWE,REF,3185
2002,AFG,SYR,REF,1284
2002,AFG,THA,ASY,5
2002,AFG,THA,REF,42
2002,AFG,TJK,ASY,442
2002,AFG,TJK,REF,7140
2002,AFG,TKM,REF,3789
2002,AFG,TUR,ASY,80
2002,AFG,TUR,REF,309
2002,AFG,UKR,REF,4716
2002,AFG,USA,ASY,295
2002,AFG,USA,REF,8932
2002,AFG,UZB,ASY,3180
2002,AFG,UZB,REF,10938
2002,AFG,ZAF,ASY,7
2002,AFG,ZAF,REF,15
2002,AFG,ZWE,REF,246
2002,IRN,AFG,ASY,12
2002,IRQ,AFG,ASY,6
2003,AFG,ARE,REF,18
2003,AFG,AUS,ASY,379
2003,AFG,AUS,REF,7240
2003,AFG,AUT,REF,1595
2003,AFG,AZE,ASY,2775
2003,AFG,AZE,REF,513
2003,AFG,BEL,ASY,372
2003,AFG,BEL,REF,541
2003,AFG,BGR,ASY,996
2003,AFG,BGR,REF,1829
2003,AFG,BLR,ASY,458
2003,AFG,BLR,REF,1377
2003,AFG,BRA,REF,11
2003,AFG,CAN,ASY,175
2003,AFG,CAN,REF,14616
2003,AFG,CHE,ASY,190
2003,AFG,CHE,REF,2574
2003,AFG,CHL,REF,17
2003,AFG,CHN,REF,24
2003,AFG,CIV,ASY,13
2003,AFG,CIV,REF,21
2003,AFG,CUB,REF,69
2003,AFG,CYP,ASY,68
2003,AFG,CYP,REF,15
2003,AFG,CZE,ASY,23
2003,AFG,CZE,REF,240
2003,AFG,DEU,ASY,2529
2003,AFG,DEU,REF,46975
2003,AFG,DNK,ASY,299
2003,AFG,DNK,REF,6369
2003,AFG,ECU,ASY,5
2003,AFG,ECU,REF,29
2003,AFG,EGY,REF,105
2003,AFG,ESP,REF,94
2003,AFG,EST,REF,18
2003,AFG,ETH,REF,15
2003,AFG,FIN,REF,1101
2003,AFG,FRA,REF,2334
2003,AFG,GBR,REF,21718
2003,AFG,GEO,REF,15
2003,AFG,GRC,ASY,1320
2003,AFG,GRC,REF,159
2003,AFG,HKG,ASY,15
2003,AFG,HUN,ASY,86
2003,AFG,HUN,REF,1705
2003,AFG,IDN,ASY,15
2003,AFG,IDN,REF,237
2003,AFG,IND,ASY,88
2003,AFG,IND,REF,30849
2003,AFG,IRL,ASY,20
2003,AFG,IRL,REF,38
2003,AFG,IRN,REF,2493221
2003,AFG,ITA,REF,186
2003,AFG,JPN,ASY,20
2003,AFG,JPN,REF,122
2003,AFG,KAZ,REF,1971
2003,AFG,KGZ,ASY,109
2003,AFG,KGZ,REF,648
2003,AFG,KHM,REF,39
2003,AFG,KWT,ASY,108
2003,AFG,KWT,REF,234
2003,AFG,LBN,REF,147
2003,AFG,LKA,ASY,15
2003,AFG,LKA,REF,36
2003,AFG,LTU,ASY,16
2003,AFG,LTU,REF,89
2003,AFG,MAR,REF,8
2003,AFG,MDA,ASY,15
2003,AFG,MDA,REF,15
2003,AFG,MLT,REF,8
2003,AFG,MYS,ASY,6
2003,AFG,MYS,REF,54
2003,AFG,NLD,ASY,3712
2003,AFG,NLD,REF,26433
2003,AFG,NOR,REF,3309
2003,AFG,NZL,ASY,11
2003,AFG,NZL,REF,618
2003,AFG,OMN,ASY,48
2003,AFG,PAK,ASY,12759
2003,AFG,PAK,REF,3370941
2003,AFG,POL,ASY,255
2003,AFG,POL,REF,80
2003,AFG,PRT,REF,5
2003,AFG,QAT,REF,120
2003,AFG,ROU,ASY,5
2003,AFG,ROU,REF,298
2003,AFG,RUS,ASY,234
2003,AFG,RUS,OOC,100000
2003,AFG,RUS,REF,1541
2003,AFG,SAU,ASY,45
2003,AFG,SAU,REF,321
2003,AFG,SRB,ASY,7
2003,AFG,SVK,ASY,469
2003,AFG,SVK,REF,165
2003,AFG,SWE,ASY,877
2003,AFG,SWE,REF,3425
2003,AFG,SYR,REF,1275
2003,AFG,TCD,REF,14
2003,AFG,THA,REF,36
2003,AFG,TJK,ASY,449
2003,AFG,TJK,REF,6608
2003,AFG,TKM,REF,3672
2003,AFG,TUR,ASY,132
2003,AFG,TUR,REF,249
2003,AFG,UKR,ASY,422
2003,AFG,UKR,REF,4530
2003,AFG,USA,ASY,220
2003,AFG,USA,REF,9601
2003,AFG,UZB,ASY,2784
2003,AFG,UZB,REF,10352
2003,AFG,ZAF,ASY,22
2003,AFG,ZAF,REF,15
2003,AFG,ZWE,REF,246
2003,CHN,AFG,ASY,10
2003,IRN,AFG,ASY,82
2003,IRN,AFG,REF,38
2003,IRQ,AFG,ASY,50
2003,IRQ,AFG,REF,10
2004,AFG,AUS,ASY,289
2004,AFG,AUS,REF,8037
2004,AFG,AUT,REF,2482
2004,AFG,AZE,ASY,2253
2004,AFG,AZE,REF,444
2004,AFG,BEL,ASY,84
2004,AFG,BEL,REF,536
2004,AFG,BGR,ASY,425
2004,AFG,BGR,REF,1908
2004,AFG,BLR,ASY,105
2004,AFG,BLR,REF,1602
2004,AFG,BRA,REF,33
2004,AFG,CAN,ASY,153
2004,AFG,CAN,REF,15242
2004,AFG,CHE,ASY,585
2004,AFG,CHE,REF,3606
2004,AFG,CHL,REF,45
2004,AFG,CHN,REF,21
2004,AFG,CIV,ASY,12
2004,AFG,CIV,REF,21
2004,AFG,CUB,REF,51
2004,AFG,CYP,ASY,135
2004,AFG,CYP,REF,27
2004,AFG,CZE,ASY,12
2004,AFG,CZE,REF,247
2004,AFG,DEU,ASY,505
2004,AFG,DEU,REF,38576
2004,AFG,DNK,ASY,159
2004,AFG,DNK,REF,6437
2004,AFG,ECU,REF,29
2004,AFG,EGY,REF,105
2004,AFG,ESP,REF,88
2004,AFG,EST,REF,18
2004,AFG,ETH,REF,15
2004,AFG,FIN,REF,1342
2004,AFG,FRA,REF,1220
2004,AFG,GBR,REF,22494
2004,AFG,GEO,REF,5
2004,AFG,GRC,ASY,1635
2004,AFG,GRC,REF,155
2004,AFG,HKG,ASY,5
2004,AFG,HUN,ASY,5
2004,AFG,HUN,REF,2497
2004,AFG,IDN,ASY,24
2004,AFG,IDN,OOC,62
2004,AFG,IDN,REF,135
2004,AFG,IND,ASY,70
2004,AFG,IND,REF,29283
2004,AFG,IRL,ASY,95
2004,AFG,IRL,REF,58
2004,AFG,IRN,ASY,72
2004,AFG,IRN,REF,2858406
2004,AFG,ISL,ASY,5
2004,AFG,ITA,REF,242
2004,AFG,JPN,ASY,29
2004,AFG,JPN,REF,122
2004,AFG,KAZ,REF,2010
2004,AFG,KGZ,ASY,384
2004,AFG,KGZ,REF,774
2004,AFG,KHM,REF,21
2004,AFG,KWT,ASY,111
2004,AFG,KWT,REF,234
2004,AFG,LBN,REF,93
2004,AFG,LKA,REF,45
2004,AFG,LTU,ASY,5
2004,AFG,LTU,REF,94
2004,AFG,MDA,ASY,15
2004,AFG,MDA,REF,15
2004,AFG,MLT,REF,8
2004,AFG,MYS,ASY,27
2004,AFG,MYS,REF,78
2004,AFG,NLD,ASY,2788
2004,AFG,NLD,REF,25907
2004,AFG,NOR,REF,3693
2004,AFG,NZL,ASY,6
2004,AFG,NZL,REF,1142
2004,AFG,OMN,ASY,48
