country,neighbour
country,neighbour
AND,FRA
AND,ESP
ARE,SAU
ARE,QAT
ARE,OMN
AFG,IRN
AFG,TKM
AFG,TJK
AFG,UZB
AFG,CHN
AFG,PAK
ALB,MNE
ALB,GRC
ARM,GEO
ARM,AZE
ARM,IRN
AGO,NAM
AGO,COG
AGO,ZMB
ARG,CHL
ARG,BOL
ARG,PRY
ARG,BRA
ARG,URY
AUT,DEU
AUT,SVK
AUT,HUN
AUT,SVN
AUT,ITA
AUT,CHE
AUT,LIE
AZE,RUS
AZE,GEO
AZE,ARM
AZE,IRN
BGD,IND
BGD,MMR
BEL,NLD
BEL,DEU
BEL,LUX
BEL,FRA
BFA,NER
BFA,MLI
BFA,GHA
BFA,TGO
BFA,BEN
BGR,ROU
BGR,SRB
BGR,GRC
BDI,RWA
BEN,TGO
BEN,NGA
BEN,NER
BEN,BFA
BRN,MYS
BOL,BRA
BOL,PRY
BOL,ARG
BOL,CHL
BOL,PER
BRA,SUR
BRA,GUY
BRA,COL
BRA,PER
BRA,BOL
BRA,PRY
BRA,ARG
BRA,URY
BTN,IND
BTN,CHN
BWA,ZWE
BWA,ZMB
BWA,NAM
BWA,ZAF
BLR,LVA
BLR,LTU
BLR,POL
BLR,RUS
BLR,UKR
BLZ,MEX
BLZ,GTM
CAN,USA
CAF,SSD
CAF,CMR
CAF,COD
CAF,TCD
COG,GAB
COG,CMR
COG,AGO
CHE,DEU
CHE,AUT
CHE,LIE
CHE,ITA
CHE,FRA
CHL,PER
CHL,BOL
CHL,ARG
CMR,TCD
CMR,NGA
CMR,CAF
CMR,COG
CHN,IND
CHN,NPL
CHN,BTN
CHN,MMR
CHN,LAO
CHN,VNM
CHN,PRK
CHN,MNG
CHN,RUS
CHN,KGZ
CHN,TJK
CHN,AFG
CHN,PAK
COL,PAN
COL,BRA
COL,PER
COL,ECU
CRI,NIC
CRI,PAN
DEU,NLD
DEU,DNK
DEU,POL
DEU,AUT
DEU,CHE
DEU,FRA
DEU,LUX
DEU,BEL
DJI,ERI
DJI,ETH
DJI,SOM
